,champ,role,side,x,y,second
486,trundle,jgl,red,0.5033557046979866,0.22727272727272727,74
485,ornn,top,red,,,74
489,janna,sup,red,0.8053691275167785,0.6038961038961039,74
483,missfortune,adc,blue,,,74
482,azir,mid,blue,,,74
481,gragas,jgl,blue,0.24161073825503357,0.5324675324675324,74
480,zac,top,blue,0.2080536912751678,0.21428571428571427,74
484,braum,sup,blue,,,74
498,aphelios,adc,red,,,75
497,corki,mid,red,0.697986577181208,0.5584415584415584,75
496,trundle,jgl,red,0.4966442953020134,0.21428571428571427,75
495,ornn,top,red,,,75
499,janna,sup,red,0.8053691275167785,0.6168831168831169,75
493,missfortune,adc,blue,,,75
492,azir,mid,blue,,,75
491,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,75
490,zac,top,blue,,,75
494,braum,sup,blue,,,75
509,janna,sup,red,0.8053691275167785,0.6168831168831169,76
508,aphelios,adc,red,,,76
507,corki,mid,red,0.697986577181208,0.5584415584415584,76
506,trundle,jgl,red,0.5033557046979866,0.22727272727272727,76
505,ornn,top,red,0.4161073825503356,0.12337662337662338,76
504,braum,sup,blue,,,76
502,azir,mid,blue,,,76
501,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,76
500,zac,top,blue,0.2080536912751678,0.21428571428571427,76
503,missfortune,adc,blue,,,76
516,trundle,jgl,red,0.5033557046979866,0.22727272727272727,77
518,aphelios,adc,red,,,77
517,corki,mid,red,0.697986577181208,0.5584415584415584,77
515,ornn,top,red,0.3959731543624161,0.12987012987012986,77
519,janna,sup,red,0.8120805369127517,0.6168831168831169,77
513,missfortune,adc,blue,,,77
512,azir,mid,blue,0.5570469798657718,0.5909090909090909,77
511,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,77
510,zac,top,blue,,,77
514,braum,sup,blue,,,77
529,janna,sup,red,0.825503355704698,0.6103896103896104,78
528,aphelios,adc,red,,,78
527,corki,mid,red,0.697986577181208,0.5584415584415584,78
526,trundle,jgl,red,0.5033557046979866,0.22727272727272727,78
525,ornn,top,red,,,78
521,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,78
523,missfortune,adc,blue,,,78
522,azir,mid,blue,,,78
524,braum,sup,blue,,,78
520,zac,top,blue,,,78
539,janna,sup,red,0.8322147651006712,0.6168831168831169,79
538,aphelios,adc,red,,,79
537,corki,mid,red,0.697986577181208,0.5584415584415584,79
536,trundle,jgl,red,0.5033557046979866,0.22727272727272727,79
535,ornn,top,red,,,79
533,missfortune,adc,blue,,,79
532,azir,mid,blue,,,79
531,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,79
530,zac,top,blue,,,79
534,braum,sup,blue,,,79
546,trundle,jgl,red,0.5033557046979866,0.22727272727272727,80
549,janna,sup,red,0.8187919463087249,0.6168831168831169,80
548,aphelios,adc,red,,,80
547,corki,mid,red,0.697986577181208,0.5584415584415584,80
545,ornn,top,red,0.3221476510067114,0.15584415584415584,80
544,braum,sup,blue,,,80
543,missfortune,adc,blue,,,80
542,azir,mid,blue,,,80
541,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,80
540,zac,top,blue,,,80
559,janna,sup,red,0.8053691275167785,0.6233766233766234,81
558,aphelios,adc,red,0.9530201342281879,0.7207792207792207,81
557,corki,mid,red,0.697986577181208,0.5584415584415584,81
556,trundle,jgl,red,0.5100671140939598,0.23376623376623376,81
555,ornn,top,red,0.31543624161073824,0.17532467532467533,81
554,braum,sup,blue,,,81
553,missfortune,adc,blue,,,81
552,azir,mid,blue,,,81
551,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,81
550,zac,top,blue,,,81
568,aphelios,adc,red,,,82
567,corki,mid,red,0.6778523489932886,0.564935064935065,82
