renekton,cassiopeia,Seconds
"(77.0, 73.0)","(107.0, 101.0)",421
"(77.0, 73.0)","(106.0, 98.0)",422
"(77.0, 72.0)","(104.0, 94.0)",423
"(77.0, 71.0)","(103.0, 91.0)",424
"(77.0, 70.0)","(102.0, 87.0)",425
"(77.0, 68.0)","(102.0, 83.0)",426
"(77.0, 67.0)","(101.0, 80.0)",427
"(77.0, 66.0)","(98.0, 78.0)",428
"(75.0, 62.0)","(95.0, 75.0)",429
"(72.0, 59.0)","(92.0, 72.0)",430
"(72.0, 55.0)","(91.0, 71.0)",431
"(91.0, 68.0)","(91.0, 68.0)",432
"(91.0, 67.0)","(91.0, 67.0)",433
"(89.0, 65.0)","(89.0, 65.0)",434
"(87.0, 64.0)","(87.0, 64.0)",435
"(85.0, 63.0)","(85.0, 63.0)",436
"(85.0, 63.0)","(85.0, 63.0)",437
"(86.0, 64.0)","(86.0, 64.0)",438
"(69.0, 59.0)","(85.0, 66.0)",439
"(66.0, 60.0)","(82.0, 68.0)",440
"(64.0, 60.0)","(80.0, 71.0)",441
"(66.0, 64.0)","(78.0, 74.0)",442
"(77.0, 77.0)","(77.0, 77.0)",443
"(79.0, 76.0)","(79.0, 76.0)",444
"(81.0, 75.0)","(81.0, 75.0)",445
"(84.0, 73.0)","(84.0, 73.0)",446
"(85.0, 71.0)","(85.0, 71.0)",447
"(86.0, 70.0)","(86.0, 70.0)",448
"(84.0, 71.0)","(84.0, 71.0)",449
"(73.0, 75.0)","(84.0, 70.0)",450
"(74.0, 74.0)","(85.0, 69.0)",451
"(74.0, 74.0)","(87.0, 68.0)",452
"(72.0, 72.0)","(89.0, 67.0)",453
"(70.0, 71.0)","(88.0, 67.0)",454
"(68.0, 70.0)","(86.0, 70.0)",455
"(66.0, 68.0)","(88.0, 69.0)",456
"(65.0, 66.0)","(90.0, 67.0)",457
"(63.0, 65.0)","(90.0, 66.0)",458
"(61.0, 64.0)","(89.0, 66.0)",459
"(59.0, 62.0)","(92.0, 65.0)",460
"(56.0, 60.0)","(93.0, 65.0)",461
"(52.0, 58.0)","(91.0, 65.0)",462
"(49.0, 56.0)","(89.0, 64.0)",463
"(46.0, 54.0)","(87.0, 64.0)",464
"(60.0, 60.0)","(99.0, 68.0)",465
"(73.0, 65.0)","(96.0, 68.0)",466
"(87.0, 71.0)","(98.0, 68.0)",467
"(83.0, 69.0)","(99.0, 67.0)",468
"(79.0, 67.0)","(82.0, 64.0)",469
"(74.0, 66.0)","(65.0, 61.0)",470
"(70.0, 64.0)","(48.0, 58.0)",471
"(66.0, 62.0)","(44.0, 57.0)",472
"(62.0, 60.0)","(46.0, 56.0)",473
"(58.0, 59.0)","(47.0, 55.0)",474
"(54.0, 57.0)","(49.0, 55.0)",475
"(50.0, 55.0)","(50.0, 54.0)",476
"(45.0, 53.0)","(52.0, 53.0)",477
"(41.0, 51.0)","(56.0, 53.0)",478
"(37.0, 50.0)","(60.0, 53.0)",479
"(33.0, 48.0)","(64.0, 54.0)",480
"(29.0, 46.0)","(67.0, 56.0)",481
"(24.0, 44.0)","(70.0, 58.0)",482
"(20.0, 43.0)","(72.0, 61.0)",483
"(16.0, 41.0)","(75.0, 64.0)",484
"(12.0, 39.0)","(77.0, 66.0)",485
"(13.0, 38.0)","(81.0, 65.0)",486
